iter	Passed	Remaining
0	4	1366
1	8	1339
2	13	1319
3	17	1306
4	22	1322
5	27	1326
6	31	1311
7	35	1304
8	40	1313
9	44	1291
10	48	1261
11	52	1253
12	55	1233
13	58	1204
14	62	1181
15	65	1165
16	70	1168
17	73	1153
18	77	1140
19	79	1119
20	82	1102
21	87	1099
22	90	1085
23	93	1072
24	96	1061
25	99	1052
26	103	1044
27	106	1030
28	109	1021
29	112	1012
30	115	1005
31	117	982
32	120	976
33	124	970
34	126	960
35	130	953
36	132	945
37	136	940
38	145	974
39	149	974
40	153	968
41	156	962
42	160	957
43	163	950
44	166	945
45	169	937
46	173	934
47	177	933
48	181	927
49	184	924
50	189	923
51	193	920
52	196	914
53	200	912
54	204	909
55	207	904
56	210	897
57	213	892
58	217	889
59	220	881
60	223	874
61	226	869
62	229	862
63	232	858
64	235	851
65	238	845
66	241	838
67	243	832
68	247	828
69	250	822
70	253	816
71	255	810
72	258	804
73	262	801
74	265	795
75	268	790
76	270	784
77	273	779
78	276	774
79	280	770
80	282	764
81	285	759
82	288	753
83	291	748
84	294	745
85	297	740
86	300	735
87	303	729
88	305	725
89	308	720
90	312	716
91	314	711
92	317	707
93	321	703
94	324	699
95	327	695
96	330	691
97	333	686
98	336	682
99	338	677
100	341	673
101	345	669
102	347	665
103	351	661
104	354	658
105	357	655
106	360	651
107	363	646
108	366	642
109	369	638
110	372	634
111	375	630
112	378	626
113	381	622
114	384	618
115	386	613
116	389	609
117	392	605
118	395	601
119	398	597
120	401	593
121	404	589
122	407	586
123	410	582
124	413	579
125	416	575
126	419	571
127	422	567
128	425	564
129	428	560
130	431	556
131	434	552
132	436	548
133	440	545
134	442	541
135	445	537
136	448	533
137	451	529
138	454	526
139	457	523
140	460	519
141	463	515
142	466	511
143	469	508
144	472	505
145	475	501
146	478	497
147	481	494
148	483	490
149	487	487
150	490	483
151	493	480
152	495	476
153	498	472
154	501	469
155	504	465
156	507	462
157	510	458
158	513	455
159	516	451
160	519	448
161	522	445
162	525	441
163	528	437
164	531	434
165	534	431
166	537	428
167	540	424
168	543	421
169	546	417
170	548	414
171	552	411
172	555	407
173	558	404
174	561	400
175	564	397
176	567	394
177	570	390
178	573	387
179	576	384
180	579	381
181	583	378
182	585	374
183	588	371
184	591	367
185	595	365
186	599	362
187	602	358
188	605	355
189	608	352
190	611	349
191	615	345
192	618	342
193	621	339
194	624	336
195	628	333
196	632	330
197	635	327
198	638	324
199	642	321
200	645	318
201	649	315
202	652	311
203	656	308
204	659	305
205	662	302
206	665	298
207	668	295
208	671	292
209	675	289
210	677	285
211	680	282
212	683	279
213	686	275
214	689	272
215	692	269
216	695	266
217	698	262
218	701	259
219	704	256
220	707	252
221	709	249
222	712	246
223	715	242
224	718	239
225	721	236
226	724	232
227	727	229
228	730	226
229	733	223
230	736	219
231	738	216
232	741	213
233	745	210
234	748	206
235	750	203
236	753	200
237	756	197
238	759	193
239	762	190
240	765	187
241	768	184
242	770	180
243	773	177
244	776	174
245	779	171
246	782	167
247	784	164
248	787	161
249	790	158
250	793	154
251	796	151
252	799	148
253	801	145
254	804	142
255	808	138
256	811	135
257	813	132
258	816	129
259	819	126
260	822	122
261	825	119
262	828	116
263	831	113
264	833	110
265	836	106
266	840	103
267	843	100
268	845	97
269	848	94
270	851	91
271	854	87
272	857	84
273	860	81
274	863	78
275	865	75
276	868	72
277	871	69
278	874	65
279	877	62
280	880	59
281	883	56
282	885	53
283	889	50
284	892	46
285	895	43
286	898	40
287	900	37
288	904	34
289	906	31
290	909	28
291	912	25
292	915	21
293	918	18
294	921	15
295	924	12
296	926	9
297	929	6
298	932	3
299	935	0
